cod_sede,numero_serie,ubicacion,piso,nro_extintor,fecha_recarga,fecha_prueba_hidro,observaciones
S01,DI 015928,Independencia 202,PB,253663,2026-01-09,2028-09-01,3688
S01,DI 025034,Independencia 202,PB,252923,2026-01-09,2028-09-01,3688
S01,DI 025032,Independencia 202,P1,1578625,2026-01-09,2026-09-01,3688
S01,DI 015926,Independencia 202,P1,1578649,2026-01-09,2026-09-01,3688
S01,DI 025036,Independencia 202,P2,1578645,2026-01-09,2026-09-01,3688
S01,DI 004828,Independencia 202,P2,1578648,2026-01-09,2026-09-01,3688
S03,DI 016145,Perico Penal,P1,1736573,2026-01-09,2029-01-09,31967
S03,DI 016146,Perico Penal,P1,1736099,2026-01-09,2029-01-09,31967
S04,DI 004829,Alto Comedero,PB,1652311,2026-01-04,2026-01-04,317723
S05,S/N,Humahuaca Penal,P1,55242,2026-01-05,2026-01-05,S/S
S06,S/N,Ledesma Penal,PB,151651,2026-01-04,2026-04-01,S/S
S06,S/N,Ledesma Penal,PB,151740,2026-01-04,2026-04-01,S/S
S07,DI 004832,Palpalá Penal,P1,151484,2026-01-04,2026-01-04,29343
S08,DI 015659,San Martín 137,PB,1824190,2026-01-09,2027-09-01,2045
S08,DI 015658,San Martín 137,PB,1824175,2026-01-09,2027-09-01,2045
S08,DI 015657,San Martín 137,PB,1824141,2026-01-09,2027-09-01,2045
S10,DI 015716,El Carmen,PB,1824200,2026-01-09,2027-09-01,19789
S11,DI 020887,Gorriti 791,PB,253965,2026-01-04,2030-04-01,56110
S11,DI 020888,Gorriti 791,PB,284488,2026-01-04,2030-04-01,56110
S11,DI 020893,Gorriti 791,PB,284701,2026-01-04,2030-04-01,56110
S11,DI 020889,Gorriti 791,P1,284496,2026-01-04,2030-04-01,56110
S11,DI 020894,Gorriti 791,P1,283201,2026-01-04,2030-04-01,56110
S11,DI 020892,Gorriti 791,P2,283203,2026-01-04,2030-04-01,56110
S11,DI 020890,Gorriti 791,P2,283388,2026-01-04,2030-04-01,56110
S11,DI 020891,Gorriti 791,P2,284622,2026-01-04,2030-04-01,56110
S12,DI 015655,Belgrano 284,PB,106108,2026-01-09,2026-09-01,31948
S12,DI 015656,Belgrano 284,P1,98428,2026-01-09,2026-09-01,31948
S13,A23-086407,San Martín 271,PB,252402,2026-01-12,2029-12-01,271
S13,A23-086417,San Martín 271,PB,252399,2026-01-12,2029-12-01,271
S13,A23-086406,San Martín 271,PB,252383,2026-01-12,2029-12-01,271
S13,A23-086424,San Martín 271,PB,252396,2026-01-12,2029-12-01,271
S14,DI 021617,Tilcara,PB,1582589,2026-01-05,2030-05-01,123
S14,DI 021614,Tilcara,PB,1755473,2026-01-05,2030-05-01,123
S14,DI 021613,Tilcara,PB,1755464,2026-01-05,2030-05-01,123
S15,DI 021615,Abra Pampa,PB,751178,2026-01-05,2028-05-01,1
S16,DI 021616,La Quiaca Civil,PB,750123,2026-01-05,2028-05-01,1
S18,DI 021618,Humahuaca Civil,PB,1568003,2026-01-05,2028-05-01,2
S18,DI 021612,Humahuaca Civil,PB,1755504,2026-01-05,2028-05-01,2045
S20,DI 020882,Palpalá Civil,PB,480678,2026-01-04,2030-04-01,8585
S20,DI 020883,Palpalá Civil,PB,480998,2026-01-04,2030-04-01,8585
